time,z
7.277277,0.032315
7.287287,0.032159
7.297297,0.032004
7.307307,0.031851
7.317317,0.031699
7.327327,0.031549
7.337337,0.031401
7.347347,0.031254
7.357357,0.031108
7.367367,0.030964
7.377377,0.030822
7.387387,0.030681
7.397397,0.030541
7.407407,0.030403
7.417417,0.030267
7.427427,0.030132
7.437437,0.029998
7.447447,0.029866
7.457457,0.029736
7.467467,0.029607
7.477477,0.029479
7.487487,0.029353
7.497497,0.029228
7.507508,0.029105
7.517518,0.028983
7.527528,0.028862
7.537538,0.028743
7.547548,0.028625
7.557558,0.028509
7.567568,0.028394
7.577578,0.028280
7.587588,0.028168
7.597598,0.028057
7.607608,0.027948
7.617618,0.027839
7.627628,0.027733
7.637638,0.027627
7.647648,0.027523
7.657658,0.027420
7.667668,0.027318
7.677678,0.027218
7.687688,0.027118
7.697698,0.027021
7.707708,0.026924
7.717718,0.026829
7.727728,0.026734
7.737738,0.026642
7.747748,0.026550
7.757758,0.026459
7.767768,0.026370
7.777778,0.026282
7.787788,0.026195
7.797798,0.026110
7.807808,0.026025
7.817818,0.025942
7.827828,0.025860
7.837838,0.025778
7.847848,0.025699
7.857858,0.025620
7.867868,0.025542
7.877878,0.025466
7.887888,0.025390
7.897898,0.025316
7.907908,0.025243
7.917918,0.025170
7.927928,0.025099
7.937938,0.025029
7.947948,0.024961
7.957958,0.024893
7.967968,0.024826
7.977978,0.024760
7.987988,0.024695
7.997998,0.024632
8.008008,0.024569
8.018018,0.024507
8.028028,0.024447
8.038038,0.024387
8.048048,0.024329
8.058058,0.024271
8.068068,0.024214
8.078078,0.024159
8.088088,0.024104
8.098098,0.024050
8.108108,0.023998
8.118118,0.023946
8.128128,0.023895
8.138138,0.023845
8.148148,0.023796
8.158158,0.023748
8.168168,0.023701
8.178178,0.023655
8.188188,0.023610
8.198198,0.023566
8.208208,0.023523
8.218218,0.023480
8.228228,0.023439
8.238238,0.023398
8.248248,0.023359
8.258258,0.023320
8.268268,0.023282
8.278278,0.023245
8.288288,0.023209
8.298298,0.023174
8.308308,0.023139
8.318318,0.023106
8.328328,0.023073
8.338338,0.023041
8.348348,0.023011
8.358358,0.022981
8.368368,0.022951
8.378378,0.022923
8.388388,0.022896
8.398398,0.022869
8.408408,0.022844
8.418418,0.022819
8.428428,0.022795
8.438438,0.022771
8.448448,0.022749
8.458458,0.022728
8.468468,0.022707
8.478478,0.022687
8.488488,0.022668
8.498498,0.022650
8.508509,0.022633
8.518519,0.022616
8.528529,0.022601
8.538539,0.022586
8.548549,0.022572
8.558559,0.022559
8.568569,0.022546
8.578579,0.022535
8.588589,0.022524
8.598599,0.022514
8.608609,0.022505
8.618619,0.022497
8.628629,0.022490
8.638639,0.022483
8.648649,0.022477
8.658659,0.022472
8.668669,0.022468
8.678679,0.022465
8.688689,0.022462
8.698699,0.022461
8.708709,0.022460
8.718719,0.022460
8.728729,0.022461
8.738739,0.022462
8.748749,0.022465
8.758759,0.022468
8.768769,0.022472
8.778779,0.022477
8.788789,0.022483
8.798799,0.022489
8.808809,0.022497
8.818819,0.022505
8.828829,0.022514
8.838839,0.022524
8.848849,0.022535
8.858859,0.022546
8.868869,0.022559
8.878879,0.022572
8.888889,0.022586
8.898899,0.022601
8.908909,0.022617
8.918919,0.022634
8.928929,0.022651
8.938939,0.022670
8.948949,0.022689
8.958959,0.022709
8.968969,0.022730
8.978979,0.022752
8.988989,0.022775
8.998999,0.022798
9.009009,0.022823
9.019019,0.022848
9.029029,0.022874
9.039039,0.022902
9.049049,0.022930
9.059059,0.022959
9.069069,0.022988
9.079079,0.023019
9.089089,0.023051
9.099099,0.023084
9.109109,0.023117
9.119119,0.023152
9.129129,0.023187
9.139139,0.023223
9.149149,0.023261
9.159159,0.023299
9.169169,0.023338
9.179179,0.023378
9.189189,0.023419
9.199199,0.023461
9.209209,0.023504
9.219219,0.023549
9.229229,0.023594
9.239239,0.023640
9.249249,0.023687
9.259259,0.023735
9.269269,0.023784
9.279279,0.023834
9.289289,0.023885
9.299299,0.023937
9.309309,0.023990
9.319319,0.024045
9.329329,0.024100
9.339339,0.024156
9.349349,0.024214
9.359359,0.024272
9.369369,0.024332
9.379379,0.024393
9.389389,0.024455
9.399399,0.024518
9.409409,0.024582
9.419419,0.024647
9.429429,0.024713
9.439439,0.024781
9.449449,0.024850
9.459459,0.024919
9.469469,0.024990
9.479479,0.025063
9.489489,0.025136
9.499499,0.025211
9.509510,0.025287
9.519520,0.025364
9.529530,0.025442
9.539540,0.025522
9.549550,0.025603
9.559560,0.025685
9.569570,0.025769
9.579580,0.025854
9.589590,0.025940
9.599600,0.026027
9.609610,0.026116
9.619620,0.026206
9.629630,0.026298
9.639640,0.026391
9.649650,0.026485
9.659660,0.026581
9.669670,0.026678
9.679680,0.026776
9.689690,0.026876
9.699700,0.026978
9.709710,0.027081
9.719720,0.027185
9.729730,0.027291
9.739740,0.027399
9.749750,0.027508
9.759760,0.027619
9.769770,0.027731
9.779780,0.027845
9.789790,0.027960
9.799800,0.028077
9.809810,0.028196
9.819820,0.028316
9.829830,0.028438
9.839840,0.028562
9.849850,0.028687
9.859860,0.028814
9.869870,0.028943
9.879880,0.029074
9.889890,0.029206
9.899900,0.029341
9.909910,0.029477
9.919920,0.029615
9.929930,0.029754
9.939940,0.029896
9.949950,0.030040
9.959960,0.030185
9.969970,0.030333
9.979980,0.030482
9.989990,0.030634
10.000000,0.030787
