time,x
3.643644,-0.243111
3.653654,-0.223407
3.663664,-0.203641
3.673674,-0.183815
3.683684,-0.163931
3.693694,-0.143992
3.703704,-0.123998
3.713714,-0.103952
3.723724,-0.083856
3.733734,-0.063711
3.743744,-0.043520
3.753754,-0.023285
3.763764,-0.003007
3.773774,0.017312
3.783784,0.037669
3.793794,0.058063
3.803804,0.078491
3.813814,0.098953
3.823824,0.119445
3.833834,0.139965
3.843844,0.160512
3.853854,0.181084
3.863864,0.201679
3.873874,0.222294
3.883884,0.242928
3.893894,0.263578
3.903904,0.284243
3.913914,0.304920
3.923924,0.325608
3.933934,0.346304
3.943944,0.367006
3.953954,0.387712
3.963964,0.408421
3.973974,0.429130
3.983984,0.449836
3.993994,0.470538
4.004004,0.491235
4.014014,0.511922
4.024024,0.532600
4.034034,0.553265
4.044044,0.573915
4.054054,0.594548
4.064064,0.615163
4.074074,0.635757
4.084084,0.656328
4.094094,0.676873
4.104104,0.697391
4.114114,0.717880
4.124124,0.738337
4.134134,0.758760
4.144144,0.779148
4.154154,0.799498
4.164164,0.819808
4.174174,0.840075
4.184184,0.860299
4.194194,0.880476
4.204204,0.900604
4.214214,0.920682
4.224224,0.940707
4.234234,0.960677
4.244244,0.980590
4.254254,1.000443
4.264264,1.020236
4.274274,1.039965
4.284284,1.059629
4.294294,1.079225
4.304304,1.098752
4.314314,1.118207
4.324324,1.137588
4.334334,1.156893
4.344344,1.176119
4.354354,1.195266
4.364364,1.214330
4.374374,1.233310
4.384384,1.252204
4.394394,1.271009
4.404404,1.289724
4.414414,1.308346
4.424424,1.326873
4.434434,1.345303
4.444444,1.363635
4.454454,1.381866
4.464464,1.399994
4.474474,1.418017
4.484484,1.435934
4.494494,1.453741
4.504505,1.471437
4.514515,1.489021
4.524525,1.506490
4.534535,1.523841
4.544545,1.541074
4.554555,1.558186
4.564565,1.575175
4.574575,1.592040
4.584585,1.608778
4.594595,1.625387
4.604605,1.641865
4.614615,1.658211
4.624625,1.674423
4.634635,1.690499
4.644645,1.706436
4.654655,1.722233
4.664665,1.737888
4.674675,1.753400
4.684685,1.768766
4.694695,1.783985
4.704705,1.799054
4.714715,1.813972
4.724725,1.828737
4.734735,1.843348
4.744745,1.857803
4.754755,1.872099
4.764765,1.886235
4.774775,1.900209
4.784785,1.914021
4.794795,1.927667
4.804805,1.941146
4.814815,1.954457
4.824825,1.967598
4.834835,1.980567
4.844845,1.993362
4.854855,2.005982
4.864865,2.018426
4.874875,2.030692
4.884885,2.042777
4.894895,2.054682
4.904905,2.066403
4.914915,2.077940
4.924925,2.089290
4.934935,2.100454
4.944945,2.111428
4.954955,2.122212
4.964965,2.132804
4.974975,2.143202
4.984985,2.153406
4.994995,2.163413
5.005005,2.173223
5.015015,2.182834
5.025025,2.192245
5.035035,2.201454
5.045045,2.210460
5.055055,2.219262
5.065065,2.227859
5.075075,2.236248
5.085085,2.244430
5.095095,2.252402
5.105105,2.260164
5.115115,2.267714
5.125125,2.275052
5.135135,2.282175
5.145145,2.289084
5.155155,2.295776
5.165165,2.302251
5.175175,2.308508
5.185185,2.314545
5.195195,2.320362
5.205205,2.325958
5.215215,2.331331
5.225225,2.336481
5.235235,2.341407
5.245245,2.346107
5.255255,2.350581
5.265265,2.354828
5.275275,2.358848
5.285285,2.362638
5.295295,2.366199
5.305305,2.369530
5.315315,2.372630
5.325325,2.375498
5.335335,2.378133
5.345345,2.380535
5.355355,2.382704
5.365365,2.384637
5.375375,2.386336
5.385385,2.387798
5.395395,2.389024
5.405405,2.390013
5.415415,2.390765
5.425425,2.391278
5.435435,2.391553
